# Haugland arXiv:2608.04542v2 Appendix A; numerical path data, CC BY 4.0.
2 23 28 69 33
7 19 28 69 38
10 31 68 37 14
33 28 20 66 3
37 28 25 74 3
40 17 53 7 14
42 23 14 65 14
44 7 28 78 25
46 7 14 44 13
47 83 37 14 16
48 28 0 6 28
50 19 17 77 28
50 28 17 77 19
53 32 83 14 22
53 40 7 14 17
54 17 28 80 23
62 83 28 25 23
64 7 33 31 14
66 3 20 33 28
69 19 28 38 7
69 33 28 2 23
69 34 17 7 33
69 38 19 7 28
72 39 14 33 12
77 10 17 39 37
77 28 17 50 19
77 46 28 10 23
78 7 44 28 25
80 28 17 54 23
82 19 58 28 25
82 28 26 54 14
83 23 28 62 25
83 36 48 14 17
0 21 83 33 28 52
2 14 47 30 83 37
2 33 14 12 58 39
2 47 30 37 14 83
3 20 37 33 60 7
3 25 4 28 60 37
3 34 14 31 47 80
3 36 8 69 34 28
3 37 13 69 39 22
3 39 28 66 29 8
4 14 49 28 46 7
4 17 25 28 69 48
4 25 51 14 53 17
4 39 28 32 69 8
6 14 37 68 42 19
6 19 28 7 57 44
6 28 57 44 7 19
7 14 78 50 33 31
7 17 44 5 54 28
7 28 64 8 44 25
7 31 69 3 34 33
7 33 14 78 31 50
8 14 53 25 58 21
8 21 0 58 39 28
8 28 73 39 37 6
8 29 66 28 39 3
10 17 23 77 51 39
10 23 14 51 68 31
10 28 37 68 0 31
10 37 60 7 14 38
12 25 68 19 28 58
13 0 39 37 28 76
13 14 51 30 61 14
14 17 7 54 53 26
14 22 69 42 3 34
14 59 82 28 40 17
14 79 18 37 28 60
16 69 47 14 37 13
17 19 36 53 14 72
18 69 28 33 71 20
19 52 21 14 47 83
20 14 47 19 51 82
20 71 33 28 69 18
21 14 38 51 14 74
22 69 14 13 53 32
23 60 32 33 83 7
24 7 28 52 19 69
25 23 76 48 83 28
25 83 47 19 82 37
26 14 39 72 33 82
28 9 28 66 3 40
28 16 83 0 47 37
28 17 40 7 53 0
28 18 71 69 33 20
28 24 75 14 66 33
28 25 12 77 64 33
28 63 18 16 69 28
28 73 63 12 28 25
30 77 28 17 43 80
31 0 33 28 7 64
31 14 48 24 69 7
32 1 54 83 28 23
32 14 13 69 22 53
33 12 83 32 77 39
33 14 66 38 83 21
33 17 66 18 83 39
33 20 7 67 46 14
33 21 14 31 64 77
33 23 21 77 46 83
33 23 80 17 72 39
33 28 82 11 69 34
33 31 50 14 7 78
33 37 83 68 25 12
34 17 15 51 14 68
34 28 17 80 47 0
34 33 3 6 28 66
36 17 28 0 83 48
37 6 33 68 5 28
37 13 14 60 3 36
37 14 74 3 42 25
37 17 54 9 80 28
37 24 39 80 77 17
37 25 68 15 78 28
37 28 60 4 3 25
37 83 14 30 47 2
38 7 14 60 37 10
38 21 66 14 83 33
39 7 78 6 37 33
39 12 28 54 81 14
39 13 14 51 76 23
39 14 18 74 17 51
39 17 14 18 74 51
39 18 14 8 69 42
39 22 69 13 3 37
39 37 14 6 62 13
40 3 53 14 31 7
40 7 3 31 53 14
40 28 3 82 45 14
42 3 34 14 69 22
42 19 82 14 58 25
42 23 25 14 62 83
42 25 3 14 74 37
42 77 46 23 10 14
44 13 21 14 77 46
44 14 21 77 13 46
44 25 83 7 48 17
44 28 5 54 7 17
44 57 7 28 19 6
46 13 77 21 14 44
46 28 7 44 0 13
46 77 14 10 23 42
46 83 77 21 33 23
47 0 80 28 34 17
47 14 21 45 78 14
47 34 3 31 80 14
47 37 14 13 69 16
47 80 31 3 14 34
48 17 69 13 14 36
48 83 28 76 25 23
50 14 31 13 14 62
50 17 14 48 83 22
50 31 78 7 33 14
51 0 17 28 39 4
51 14 39 12 77 24
51 17 0 39 4 28
51 20 0 33 82 28
51 39 77 23 10 17
51 82 19 47 14 20
52 33 28 83 0 21
53 0 32 83 28 22
53 7 26 14 17 54
53 14 72 36 17 19
53 17 14 51 25 4
53 17 19 25 58 7
53 22 69 32 13 14
53 26 25 28 77 3
54 14 17 26 53 7
54 14 81 12 39 28
54 23 28 83 1 32
54 28 1 32 83 23
58 7 25 78 28 30
58 14 25 53 8 21
58 14 41 28 83 16
58 21 25 53 14 8
58 25 42 14 82 19
58 28 39 5 3 22
58 39 12 14 2 33
60 7 44 13 32 14
60 28 23 32 10 77
62 13 6 39 37 14
62 13 39 37 6 14
62 14 83 20 41 28
64 77 31 14 21 33
66 14 49 28 7 24
66 28 29 17 68 19
66 33 83 18 39 17
68 14 51 23 10 31
68 15 78 28 37 25
68 19 17 37 83 36
68 31 0 37 10 28
69 7 24 52 28 19
69 8 34 3 36 28
69 23 16 28 72 33
69 28 48 22 3 20
69 42 8 14 39 18
69 48 31 24 7 14
72 19 44 17 39 7
72 28 33 16 69 23
72 39 19 76 28 23
74 14 21 54 37 17
74 37 14 25 42 3
74 51 18 17 39 14
76 23 39 19 72 28
76 37 28 0 39 13
77 3 42 39 14 26
77 17 80 39 37 24
77 19 64 28 36 17
77 24 51 14 39 12
77 28 24 69 37 16
77 32 42 14 83 30
77 39 12 40 3 28
78 25 28 37 15 68
80 14 31 3 34 47
80 17 39 63 28 18
80 23 46 13 47 14
80 43 17 28 77 30
82 14 19 47 51 20
82 28 25 44 72 19
82 33 72 14 39 26
82 37 19 47 83 25
83 7 33 32 23 60
83 16 28 44 77 32
83 21 14 47 52 19
83 22 48 14 50 17
83 28 22 41 64 14
83 30 14 32 77 42
83 33 14 66 38 21
83 39 18 66 33 17
