arm,round,candidate,vertices,edges,target_A,fixed_status,free_status,graph_sha256,artifact_id
11-guided,2,round-002/candidate-00,5633,33862,UNKNOWN,UNSAT_PROOF_VERIFIED,UNKNOWN_TIMEOUT,d86949d89b79b394f2829896241282172e84480082df02b4bcd2dbabd349e7bd,10441088371
11-guided,2,round-002/candidate-01,6391,37594,NOT_A,SAT_LIBRARY,NOT_RUN,1ffeb74d856948dd7c493c6d23c24b07f62864c143b475e6263da1ac47535ca4,10441088371
11-guided,2,round-002/candidate-02,6391,37824,NOT_A,SAT,NOT_RUN,bd0b1b89c2e8e4c1dfc862793c09477920bd8a46b14062178565375353ca2bb2,10441088371
11-guided,3,round-003/candidate-00,6391,37593,NOT_A,SAT_LIBRARY,NOT_RUN,5246a9f8b420d3c2edb0751a9c0000bb9ad0c24a82fc2d1406b8cdb962985f56,10441088371
11-guided,3,round-003/candidate-01,6391,37594,NOT_A,SAT_LIBRARY,NOT_RUN,069f7600ca4636e437e0f3a53ca4f44d39ddffff62cffb54e2ba6825edf224c1,10441088371
11-guided,3,round-003/candidate-02,6391,37825,NOT_A,SAT,SAT_VALIDATED_EXTENSION,451033528f52f68c5597b2acc767bd25b1293e99154b3634b8b6c50b587a6ba0,10441088371
11-random,2,round-002/candidate-00,6391,37826,UNKNOWN,UNKNOWN_TIMEOUT,NOT_RUN,5cf4039756634c966011d6ab184f12d285406c880b0a988852d35a830d58ec9c,10440963657
11-random,2,round-002/candidate-01,6391,37593,NOT_A,SAT_LIBRARY,SAT_VALIDATED_EXTENSION,09cfd7fd1c6bb816c83d36b5dbab06680ba51aa4628a1e87fdd9eca3a0e4079f,10440963657
11-random,2,round-002/candidate-02,6092,37218,UNKNOWN,UNSAT_PROOF_VERIFIED,NOT_RUN,66a56f90bf2c2b777e998365e94cabdaaa1ab3bac49bb7ff310100cdc1f2b438,10440963657
11-random,3,round-003/candidate-00,8521,50604,UNKNOWN,UNKNOWN_TIMEOUT,UNKNOWN_TIMEOUT,92a0e9b8f67c2121e49ef45ab18c430fc93c6404ebc9a8098faf2f8ad42b74e3,10440963657
11-random,3,round-003/candidate-01,8521,50581,UNKNOWN,UNKNOWN_TIMEOUT,NOT_RUN,d2d8c8e5f4ae0c52dfedca588a6066c494645225216d7dfa225d3ac372cf7434,10440963657
11-random,3,round-003/candidate-02,8521,50358,UNKNOWN,UNKNOWN_TIMEOUT,NOT_RUN,ae3f48b2dba87fa8932070c4d1f4ef82f254dc153c335e41d58f05d9f5e865d5,10440963657
29-guided,2,round-002/candidate-00,6391,37594,NOT_A,SAT_LIBRARY,NOT_RUN,562a3e45a9fee16abe17f5c915fe2a592109dff7e1c411b5ec0e7bc40e87fd17,10440929191
29-guided,2,round-002/candidate-01,6391,37736,NOT_A,SAT,NOT_RUN,28e112e34baed2c4982a748d7fb10c407a1ccc0ca14d9ff70791be7c17b34794,10440929191
29-guided,2,round-002/candidate-02,6391,38050,NOT_A,SAT,SAT_VALIDATED_EXTENSION,cec985413ea6faef5273001489de7cb2ddd17068ef72b6b30419a08c038dee08,10440929191
29-guided,3,round-003/candidate-00,8521,50582,NOT_A,SAT_LIBRARY,NOT_RUN,da5c9f1f2c6772cf11542490d7093cec023066d4a99d08e74ba1a770b90986be,10440929191
29-guided,3,round-003/candidate-01,8521,50582,NOT_A,SAT_LIBRARY,NOT_RUN,1c867cb6bde3f1021791a2168eeae352b1b7c7b6b85007ff81b580a447a6764c,10440929191
29-guided,3,round-003/candidate-02,7763,46880,UNKNOWN,UNSAT_PROOF_VERIFIED,UNKNOWN_TIMEOUT,9d2529152efe480df2db2cf4b79b49c0572f7c88d6a7d4a681abc953af5c8081,10440929191
29-random,2,round-002/candidate-00,7763,46394,UNKNOWN,UNSAT_PROOF_VERIFIED,NOT_RUN,7da83b7cba757c1dcdca0c99b715026305a03d523ea76ac91d8d6af1e1868fd1,10441173499
29-random,2,round-002/candidate-01,8095,49159,UNKNOWN,UNSAT_PROOF_VERIFIED,UNKNOWN_TIMEOUT,65b024ac85fd4a58fd6582d2b7b197a02ca762af467fed338e1867c68d7e9d0b,10441173499
29-random,2,round-002/candidate-02,7763,46394,UNKNOWN,UNSAT_PROOF_VERIFIED,NOT_RUN,9109ef9567ce5dc81a4f46ccb0ba3b78c39ff0290bff4ac5fca017218ede9a20,10441173499
29-random,3,round-003/candidate-00,8521,50606,UNKNOWN,UNKNOWN_TIMEOUT,NOT_RUN,677c3c7220e57f04f696819256c9a031e99827c9afd8759708a1a5d6ca773e52,10441173499
29-random,3,round-003/candidate-01,8521,50356,NOT_A,SAT,NOT_RUN,1448dc9f3527f95d9619c1becf3c2e4d98fd7c9c5a0257ab705e8e4fdf0cedbd,10441173499
29-random,3,round-003/candidate-02,8095,49159,UNKNOWN,UNSAT_PROOF_VERIFIED,UNKNOWN_TIMEOUT,3ca0b06eff44a704793160e8001e4332100ba159ded79e4280b5d7858a94f0c9,10441173499
